Date,DataType,Avg List Price,Predicted_Avg_List_Price
2015-01-01,Historical,476100.0,
2015-02-01,Historical,519075.0,
2015-03-01,Historical,489712.0,
2015-04-01,Historical,507425.0,
2015-05-01,Historical,508975.0,
2015-06-01,Historical,509912.0,
2015-07-01,Historical,499112.0,
2015-08-01,Historical,484175.0,
2015-09-01,Historical,509900.0,
2015-10-01,Historical,516962.0,
2015-11-01,Historical,515950.0,
2015-12-01,Historical,492137.0,
2016-01-01,Historical,525237.0,
2016-02-01,Historical,529050.0,
2016-03-01,Historical,543337.0,
2016-04-01,Historical,546353.0,
2016-05-01,Historical,559700.0,
2016-06-01,Historical,547098.0,
2016-07-01,Historical,544175.0,
2016-08-01,Historical,529300.0,
2016-09-01,Historical,551763.0,
2016-10-01,Historical,567173.0,
2016-11-01,Historical,567462.0,
2016-12-01,Historical,547700.0,
2017-01-01,Historical,545837.0,
2017-02-01,Historical,599850.0,
2017-03-01,Historical,588573.0,
2017-04-01,Historical,612575.0,
2017-05-01,Historical,611722.0,
2017-06-01,Historical,611312.0,
2017-07-01,Historical,592975.0,
2017-08-01,Historical,588622.0,
2017-09-01,Historical,619200.0,
2017-10-01,Historical,641712.0,
2017-11-01,Historical,649175.0,
2017-12-01,Historical,631662.0,
2018-01-01,Historical,638448.0,
2018-02-01,Historical,681222.0,
2018-03-01,Historical,686787.0,
2018-04-01,Historical,718062.0,
2018-05-01,Historical,722750.0,
2018-06-01,Historical,724487.0,
2018-07-01,Historical,702075.0,
2018-08-01,Historical,680199.0,
2018-09-01,Historical,716830.0,
2018-10-01,Historical,730800.0,
2018-11-01,Historical,693049.0,
2018-12-01,Historical,684836.0,
2019-01-01,Historical,712850.0,
2019-02-01,Historical,733575.0,
2019-03-01,Historical,738725.0,
2019-04-01,Historical,741700.0,
2019-05-01,Historical,743587.0,
2019-06-01,Historical,753323.0,
2019-07-01,Historical,727100.0,
2019-08-01,Historical,700950.0,
2019-09-01,Historical,750925.0,
2019-10-01,Historical,744697.0,
2019-11-01,Historical,748450.0,
2019-12-01,Historical,715837.0,
2020-01-01,Historical,726725.0,
2020-02-01,Historical,769000.0,
2020-03-01,Historical,742300.0,
2020-04-01,Historical,756975.0,
2020-05-01,Historical,782750.0,
2020-06-01,Historical,783000.0,
2020-07-01,Historical,746725.0,
2020-08-01,Historical,739200.0,
2020-09-01,Historical,775459.0,
2020-10-01,Historical,781450.0,
2020-11-01,Historical,771787.0,
2020-12-01,Historical,763087.0,
2021-01-01,Historical,779337.0,
2021-02-01,Historical,844810.0,
2021-03-01,Historical,786950.0,
2021-04-01,Historical,807912.0,
2021-05-01,Historical,842935.0,
2021-06-01,Historical,878450.0,
2021-07-01,Historical,861975.0,
2021-08-01,Historical,823175.0,
2021-09-01,Historical,833975.0,
2021-10-01,Historical,831750.0,
2021-11-01,Historical,843937.0,
2021-12-01,Historical,848825.0,
2022-01-01,Historical,885725.0,
2022-02-01,Historical,886350.0,
2022-03-01,Historical,883975.0,
2022-04-01,Historical,895725.0,
2022-05-01,Historical,897525.0,
2022-06-01,Historical,903096.0,
2022-07-01,Historical,896737.0,
2022-08-01,Historical,893420.0,
2022-09-01,Historical,909450.0,
2022-10-01,Historical,943225.0,
2022-11-01,Historical,915112.0,
2022-12-01,Historical,918446.0,
2023-01-01,Historical,977562.0,
2023-02-01,Historical,989025.0,
2023-03-01,Historical,1003986.0,
2023-04-01,Historical,1030700.0,
2023-05-01,Historical,1016350.0,
2023-06-01,Historical,1008075.0,
2023-07-01,Historical,971362.0,
2023-08-01,Historical,929461.0,
2023-09-01,Historical,962562.0,
2023-10-01,Historical,964237.0,
2023-11-01,Historical,936975.0,
2023-12-01,Historical,912300.0,
2024-01-01,Historical,920625.0,
2024-02-01,Historical,984224.0,
2024-03-01,Historical,956600.0,
2024-04-01,Historical,989450.0,
2024-05-01,Historical,984675.0,
2024-06-01,Historical,966975.0,
2024-07-01,Historical,967222.0,
2024-08-01,Historical,931224.0,
2024-09-01,Historical,980500.0,
2024-10-01,Historical,958486.0,
2024-11-01,Historical,951825.0,
2024-12-01,Historical,922973.0,
2025-01-01,Historical,934450.0,
2025-02-01,Historical,961950.0,
2025-03-01,Predicted,,962138.92
2025-04-01,Predicted,,970571.31
2025-05-01,Predicted,,969226.26
2025-06-01,Predicted,,963306.37
2025-07-01,Predicted,,959713.17
2025-08-01,Predicted,,948895.1
2025-09-01,Predicted,,965551.18
2025-10-01,Predicted,,956354.5
2025-11-01,Predicted,,943300.02
2025-12-01,Predicted,,926686.7
2026-01-01,Predicted,,936475.7
2026-02-01,Predicted,,964998.71
